RegionName,Country,Class,Category,Type,Constant 2018 USD,Data Type
Africa,Benin,A1,Beneficial,Fisheries mangt.,9232292.617,Reported
Africa,Benin,A2,Beneficial,Fishery R&D,451720.0195,Modeled
Africa,Benin,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Benin,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Benin,B2,Capacity-enhancing,Fisheries dev. projects,1121835.021,Reported
Africa,Benin,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Benin,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Benin,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Benin,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Benin,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Benin,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Benin,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Benin,C3,Ambiguous,Rural fisher communities,232400.3112,Modeled
Africa,Cameroon,A1,Beneficial,Fisheries mangt.,5131498.144,Reported
Africa,Cameroon,A2,Beneficial,Fishery R&D,609560.6984,Modeled
Africa,Cameroon,A3,Beneficial,MPAs,1475377.546,Modeled
Africa,Cameroon,B1,Capacity-enhancing,Boat constsruct. & renov.,655684.3985,Modeled
Africa,Cameroon,B2,Capacity-enhancing,Fisheries dev. projects,17023910.09,Reported
Africa,Cameroon,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Cameroon,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Cameroon,B5,Capacity-enhancing,Tax exemption,1288360.776,Modeled
Africa,Cameroon,B6,Capacity-enhancing,Fishing access,538959.66,Modeled
Africa,Cameroon,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Cameroon,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Cameroon,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Cameroon,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Cape Verde,A1,Beneficial,Fisheries mangt.,2405245.315,Reported
Africa,Cape Verde,A2,Beneficial,Fishery R&D,322245.4956,Modeled
Africa,Cape Verde,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Cape Verde,B1,Capacity-enhancing,Boat constsruct. & renov.,797687.9776,Modeled
Africa,Cape Verde,B2,Capacity-enhancing,Fisheries dev. projects,1648340.528,Reported
Africa,Cape Verde,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Cape Verde,B4,Capacity-enhancing,Markt. & storage infrast.,13304053.89,Modeled
Africa,Cape Verde,B5,Capacity-enhancing,Tax exemption,1567385.017,Modeled
Africa,Cape Verde,B6,Capacity-enhancing,Fishing access,1221567.68,Modeled
Africa,Cape Verde,B7,Capacity-enhancing,Fuel subsidies,704134.0583,Modeled
Africa,Cape Verde,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Cape Verde,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Cape Verde,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Comoros,A1,Beneficial,Fisheries mangt.,3311832.347,Reported
Africa,Comoros,A2,Beneficial,Fishery R&D,127232.6209,Modeled
Africa,Comoros,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Comoros,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Comoros,B2,Capacity-enhancing,Fisheries dev. projects,6050083.932,Modeled
Africa,Comoros,B3,Capacity-enhancing,Fishing port develop.,47644064,Reported
Africa,Comoros,B4,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
Africa,Comoros,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Comoros,B6,Capacity-enhancing,Fishing access,1622522.98,Modeled
Africa,Comoros,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Comoros,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Comoros,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Comoros,C3,Ambiguous,Rural fisher communities,65458.46857,Modeled
Africa,Congo Dem Rep,A1,Beneficial,Fisheries mangt.,2842892.895,Modeled
Africa,Congo Dem Rep,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
Africa,Congo Dem Rep,A3,Beneficial,MPAs,439062.5749,Modeled
Africa,Congo Dem Rep,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Congo Dem Rep,B2,Capacity-enhancing,Fisheries dev. projects,302615.391,Reported
Africa,Congo Dem Rep,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Congo Dem Rep,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Congo Dem Rep,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Congo Dem Rep,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Congo Dem Rep,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Congo Dem Rep,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Congo Dem Rep,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Congo Dem Rep,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Congo Republic,A1,Beneficial,Fisheries mangt.,408629.1227,Reported
Africa,Congo Republic,A2,Beneficial,Fishery R&D,631605.1949,Modeled
Africa,Congo Republic,A3,Beneficial,MPAs,312560.1748,Modeled
Africa,Congo Republic,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Congo Republic,B2,Capacity-enhancing,Fisheries dev. projects,331981.5699,Reported
Africa,Congo Republic,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Congo Republic,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Congo Republic,B5,Capacity-enhancing,Tax exemption,905912.8824,Modeled
Africa,Congo Republic,B6,Capacity-enhancing,Fishing access,265119.04,Modeled
Africa,Congo Republic,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Congo Republic,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Congo Republic,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Congo Republic,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Cote d'Ivoire,A1,Beneficial,Fisheries mangt.,3271594.835,Reported
Africa,Cote d'Ivoire,A2,Beneficial,Fishery R&D,854274.1473,Modeled
Africa,Cote d'Ivoire,A3,Beneficial,MPAs,213080.5174,Modeled
Africa,Cote d'Ivoire,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Cote d'Ivoire,B2,Capacity-enhancing,Fisheries dev. projects,32851596.54,Reported
Africa,Cote d'Ivoire,B3,Capacity-enhancing,Fishing port develop.,8469529.029,Reported
Africa,Cote d'Ivoire,B4,Capacity-enhancing,Markt. & storage infrast.,8443324.366,Reported
Africa,Cote d'Ivoire,B5,Capacity-enhancing,Tax exemption,1889723,Reported
Africa,Cote d'Ivoire,B6,Capacity-enhancing,Fishing access,655127.14,Modeled
Africa,Cote d'Ivoire,B7,Capacity-enhancing,Fuel subsidies,2147412.5,Reported
Africa,Cote d'Ivoire,C1,Ambiguous,Fisher assistance,9256.149246,Reported
Africa,Cote d'Ivoire,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Cote d'Ivoire,C3,Ambiguous,Rural fisher communities,411787.821,Reported
Africa,Djibouti,A1,Beneficial,Fisheries mangt.,1876666.66,Reported
Africa,Djibouti,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
Africa,Djibouti,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Djibouti,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Djibouti,B2,Capacity-enhancing,Fisheries dev. projects,369346.0502,Modeled
Africa,Djibouti,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Djibouti,B4,Capacity-enhancing,Markt. & storage infrast.,2730000,Reported
Africa,Djibouti,B5,Capacity-enhancing,Tax exemption,61513.26739,Modeled
Africa,Djibouti,B6,Capacity-enhancing,Fishing access,6775.11,Modeled
Africa,Djibouti,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Djibouti,C1,Ambiguous,Fisher assistance,382500,Reported
Africa,Djibouti,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Djibouti,C3,Ambiguous,Rural fisher communities,19225.5454,Modeled
Africa,Egypt,A1,Beneficial,Fisheries mangt.,18845311.55,Modeled
Africa,Egypt,A2,Beneficial,Fishery R&D,1521906.215,Modeled
Africa,Egypt,A3,Beneficial,MPAs,4741507.452,Modeled
Africa,Egypt,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Egypt,B2,Capacity-enhancing,Fisheries dev. projects,24057563.23,Modeled
Africa,Egypt,B3,Capacity-enhancing,Fishing port develop.,19973336.61,Modeled
Africa,Egypt,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Egypt,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Egypt,B6,Capacity-enhancing,Fishing access,4416742.68,Modeled
Africa,Egypt,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Egypt,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Egypt,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Egypt,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Equatorial Guinea,A1,Beneficial,Fisheries mangt.,175989.1871,Reported
Africa,Equatorial Guinea,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
Africa,Equatorial Guinea,A3,Beneficial,MPAs,1481876.091,Modeled
Africa,Equatorial Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Equatorial Guinea,B2,Capacity-enhancing,Fisheries dev. projects,135775.6578,Reported
Africa,Equatorial Guinea,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Equatorial Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,883872.2542,Reported
Africa,Equatorial Guinea,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Equatorial Guinea,B6,Capacity-enhancing,Fishing access,15258.23,Modeled
Africa,Equatorial Guinea,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Equatorial Guinea,C1,Ambiguous,Fisher assistance,545566.48,Reported
Africa,Equatorial Guinea,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Equatorial Guinea,C3,Ambiguous,Rural fisher communities,703956.7484,Reported
Africa,Eritrea,A1,Beneficial,Fisheries mangt.,11252411.16,Reported
Africa,Eritrea,A2,Beneficial,Fishery R&D,75731.72988,Modeled
Africa,Eritrea,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Eritrea,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Eritrea,B2,Capacity-enhancing,Fisheries dev. projects,754344.253,Reported
Africa,Eritrea,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Eritrea,B4,Capacity-enhancing,Markt. & storage infrast.,9858787.65,Reported
Africa,Eritrea,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Eritrea,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Eritrea,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Eritrea,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Eritrea,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Eritrea,C3,Ambiguous,Rural fisher communities,38962.35906,Modeled
Africa,Gabon,A1,Beneficial,Fisheries mangt.,19147680.71,Modeled
Africa,Gabon,A2,Beneficial,Fishery R&D,4486358.331,Modeled
Africa,Gabon,A3,Beneficial,MPAs,12007262.61,Modeled
Africa,Gabon,B1,Capacity-enhancing,Boat constsruct. & renov.,1733674.407,Modeled
Africa,Gabon,B2,Capacity-enhancing,Fisheries dev. projects,5127871.903,Modeled
Africa,Gabon,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Gabon,B4,Capacity-enhancing,Markt. & storage infrast.,3894780.973,Modeled
Africa,Gabon,B5,Capacity-enhancing,Tax exemption,6036531.899,Modeled
Africa,Gabon,B6,Capacity-enhancing,Fishing access,24940.23,Modeled
Africa,Gabon,B7,Capacity-enhancing,Fuel subsidies,7429373.573,Modeled
Africa,Gabon,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Gabon,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Gabon,C3,Ambiguous,Rural fisher communities,2399530.004,Modeled
Africa,Gambia,A1,Beneficial,Fisheries mangt.,1085070.818,Reported
Africa,Gambia,A2,Beneficial,Fishery R&D,1244210.96,Modeled
Africa,Gambia,A3,Beneficial,MPAs,232967.7543,Modeled
Africa,Gambia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Gambia,B2,Capacity-enhancing,Fisheries dev. projects,5152611.661,Modeled
Africa,Gambia,B3,Capacity-enhancing,Fishing port develop.,4277858.326,Modeled
Africa,Gambia,B4,Capacity-enhancing,Markt. & storage infrast.,7284018.723,Modeled
Africa,Gambia,B5,Capacity-enhancing,Tax exemption,858149.0953,Modeled
Africa,Gambia,B6,Capacity-enhancing,Fishing access,16465.68,Modeled
Africa,Gambia,B7,Capacity-enhancing,Fuel subsidies,0,Reported
Africa,Gambia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Gambia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Gambia,C3,Ambiguous,Rural fisher communities,640119.9899,Modeled
Africa,Ghana,A1,Beneficial,Fisheries mangt.,5107681.32,Reported
Africa,Ghana,A2,Beneficial,Fishery R&D,2397032.108,Modeled
Africa,Ghana,A3,Beneficial,MPAs,474609.9589,Modeled
Africa,Ghana,B1,Capacity-enhancing,Boat constsruct. & renov.,4693988.198,Reported
Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,474609.9589,Reported
Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,34442052.79,Modeled
Africa,Ghana,B3,Capacity-enhancing,Fishing port develop.,28594862.56,Modeled
Africa,Ghana,B4,Capacity-enhancing,Markt. & storage infrast.,296819.0076,Reported
Africa,Ghana,B5,Capacity-enhancing,Tax exemption,3790718.998,Reported
Africa,Ghana,B6,Capacity-enhancing,Fishing access,2053122.88,Modeled
Africa,Ghana,B7,Capacity-enhancing,Fuel subsidies,63219653.83,Reported
Africa,Ghana,C1,Ambiguous,Fisher assistance,1045460.346,Reported
Africa,Ghana,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Ghana,C3,Ambiguous,Rural fisher communities,474609.9589,Reported
Africa,Guinea,A1,Beneficial,Fisheries mangt.,1334303.946,Reported
Africa,Guinea,A2,Beneficial,Fishery R&D,38000,Reported
Africa,Guinea,A3,Beneficial,MPAs,1067840.652,Modeled
Africa,Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,175000,Reported
Africa,Guinea,B2,Capacity-enhancing,Fisheries dev. projects,11658575.83,Reported
Africa,Guinea,B3,Capacity-enhancing,Fishing port develop.,1123156.633,Reported
Africa,Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,703850.6207,Reported
Africa,Guinea,B5,Capacity-enhancing,Tax exemption,2154352.98,Modeled
Africa,Guinea,B6,Capacity-enhancing,Fishing access,705379.22,Modeled
Africa,Guinea,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Guinea,C1,Ambiguous,Fisher assistance,16890.61528,Reported
Africa,Guinea,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Guinea,C3,Ambiguous,Rural fisher communities,150000,Reported
Africa,Guinea-Bissau,A1,Beneficial,Fisheries mangt.,2831394.736,Reported
Africa,Guinea-Bissau,A2,Beneficial,Fishery R&D,61420.47523,Reported
Africa,Guinea-Bissau,A3,Beneficial,MPAs,2620727.204,Modeled
Africa,Guinea-Bissau,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Guinea-Bissau,B2,Capacity-enhancing,Fisheries dev. projects,91002.74705,Reported
Africa,Guinea-Bissau,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Guinea-Bissau,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Guinea-Bissau,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Guinea-Bissau,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Guinea-Bissau,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Guinea-Bissau,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Guinea-Bissau,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Guinea-Bissau,C3,Ambiguous,Rural fisher communities,2779096.15,Modeled
Africa,Kenya,A1,Beneficial,Fisheries mangt.,7614342.818,Reported
Africa,Kenya,A2,Beneficial,Fishery R&D,529675.1309,Reported
Africa,Kenya,A3,Beneficial,MPAs,2234932.358,Modeled
Africa,Kenya,B1,Capacity-enhancing,Boat constsruct. & renov.,711467.0494,Reported
Africa,Kenya,B2,Capacity-enhancing,Fisheries dev. projects,38135798.14,Reported
Africa,Kenya,B3,Capacity-enhancing,Fishing port develop.,4444600.86,Reported
Africa,Kenya,B4,Capacity-enhancing,Markt. & storage infrast.,3204817.919,Reported
Africa,Kenya,B5,Capacity-enhancing,Tax exemption,441949.9208,Modeled
Africa,Kenya,B6,Capacity-enhancing,Fishing access,315437.34,Modeled
Africa,Kenya,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Kenya,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Kenya,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Kenya,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Liberia,A1,Beneficial,Fisheries mangt.,66376,Reported
Africa,Liberia,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
Africa,Liberia,A3,Beneficial,MPAs,207925.2143,Modeled
Africa,Liberia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Liberia,B2,Capacity-enhancing,Fisheries dev. projects,1853228.03,Modeled
Africa,Liberia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Liberia,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Liberia,B5,Capacity-enhancing,Tax exemption,308648.5188,Modeled
Africa,Liberia,B6,Capacity-enhancing,Fishing access,1019.04,Modeled
Africa,Liberia,B7,Capacity-enhancing,Fuel subsidies,1267806.749,Modeled
Africa,Liberia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Liberia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Liberia,C3,Ambiguous,Rural fisher communities,315461.0911,Modeled
Africa,Libya,A1,Beneficial,Fisheries mangt.,13086935.19,Modeled
Africa,Libya,A2,Beneficial,Fishery R&D,3066307.696,Modeled
Africa,Libya,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Libya,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Libya,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
Africa,Libya,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
Africa,Libya,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
Africa,Libya,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Libya,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Libya,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Libya,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Libya,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Libya,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Madagascar,A1,Beneficial,Fisheries mangt.,50033939.11,Reported
Africa,Madagascar,A2,Beneficial,Fishery R&D,1128771.624,Modeled
Africa,Madagascar,A3,Beneficial,MPAs,10027541.19,Modeled
Africa,Madagascar,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Madagascar,B2,Capacity-enhancing,Fisheries dev. projects,32804971.73,Reported
Africa,Madagascar,B3,Capacity-enhancing,Fishing port develop.,22974.10736,Reported
Africa,Madagascar,B4,Capacity-enhancing,Markt. & storage infrast.,39887.50845,Reported
Africa,Madagascar,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Madagascar,B6,Capacity-enhancing,Fishing access,35073.78,Modeled
Africa,Madagascar,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Madagascar,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Madagascar,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Madagascar,C3,Ambiguous,Rural fisher communities,580728.915,Modeled
Africa,Mauritania,A1,Beneficial,Fisheries mangt.,3090217.037,Reported
Africa,Mauritania,A2,Beneficial,Fishery R&D,511872.2042,Reported
Africa,Mauritania,A3,Beneficial,MPAs,818875.2952,Modeled
Africa,Mauritania,B1,Capacity-enhancing,Boat constsruct. & renov.,1664961.274,Modeled
Africa,Mauritania,B2,Capacity-enhancing,Fisheries dev. projects,1136227.586,Reported
Africa,Mauritania,B3,Capacity-enhancing,Fishing port develop.,14709876.34,Reported
Africa,Mauritania,B4,Capacity-enhancing,Markt. & storage infrast.,6367759.65,Reported
Africa,Mauritania,B5,Capacity-enhancing,Tax exemption,3271498.918,Modeled
Africa,Mauritania,B6,Capacity-enhancing,Fishing access,122240.29,Modeled
Africa,Mauritania,B7,Capacity-enhancing,Fuel subsidies,1621495.023,Modeled
Africa,Mauritania,C1,Ambiguous,Fisher assistance,1135178.245,Reported
Africa,Mauritania,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Mauritania,C3,Ambiguous,Rural fisher communities,3246144.947,Modeled
Africa,Mauritius,A1,Beneficial,Fisheries mangt.,8238822.889,Reported
Africa,Mauritius,A2,Beneficial,Fishery R&D,188664.255,Reported
Africa,Mauritius,A3,Beneficial,MPAs,809473.8456,Modeled
Africa,Mauritius,B1,Capacity-enhancing,Boat constsruct. & renov.,464404.32,Reported
Africa,Mauritius,B1,Capacity-enhancing,Boat constsruct. & renov.,462199.3412,Modeled
Africa,Mauritius,B2,Capacity-enhancing,Fisheries dev. projects,470209.374,Reported
Africa,Mauritius,B3,Capacity-enhancing,Fishing port develop.,58050.54,Reported
Africa,Mauritius,B4,Capacity-enhancing,Markt. & storage infrast.,145126.35,Reported
Africa,Mauritius,B5,Capacity-enhancing,Tax exemption,1609345.477,Modeled
Africa,Mauritius,B6,Capacity-enhancing,Fishing access,6051.47,Modeled
Africa,Mauritius,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
Africa,Mauritius,C1,Ambiguous,Fisher assistance,303314.0715,Reported
Africa,Mauritius,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Mauritius,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
Africa,Morocco,A1,Beneficial,Fisheries mangt.,55146226.48,Reported
Africa,Morocco,A2,Beneficial,Fishery R&D,20104068.72,Modeled
Africa,Morocco,A3,Beneficial,MPAs,2795403.864,Modeled
Africa,Morocco,B1,Capacity-enhancing,Boat constsruct. & renov.,11581371.69,Modeled
Africa,Morocco,B2,Capacity-enhancing,Fisheries dev. projects,165989449.2,Reported
Africa,Morocco,B3,Capacity-enhancing,Fishing port develop.,1643404.053,Reported
Africa,Morocco,B4,Capacity-enhancing,Markt. & storage infrast.,13351220.26,Reported
Africa,Morocco,B5,Capacity-enhancing,Tax exemption,7531986.7,Reported
Africa,Morocco,B6,Capacity-enhancing,Fishing access,289710.22,Modeled
Africa,Morocco,B7,Capacity-enhancing,Fuel subsidies,8047876.2,Reported
Africa,Morocco,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
Africa,Morocco,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Morocco,C3,Ambiguous,Rural fisher communities,10343114.38,Modeled
Africa,Mozambique,A1,Beneficial,Fisheries mangt.,13228364.17,Reported
Africa,Mozambique,A2,Beneficial,Fishery R&D,525204.4784,Reported
Africa,Mozambique,A3,Beneficial,MPAs,1300751.471,Modeled
Africa,Mozambique,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
Africa,Mozambique,B2,Capacity-enhancing,Fisheries dev. projects,7936405.885,Reported
Africa,Mozambique,B3,Capacity-enhancing,Fishing port develop.,11923445.75,Modeled
Africa,Mozambique,B4,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
