Country,Type,Subtype,Class,Comment,Currency,Year,Source Short,Source,Status,SSF percentage,SSF Data Type,SSF Comment
Mozambique,Port,Port & harbour access / other,B3,"p9 construção do Instituto Superior Politécnico de Pescas e Tecnologias Marinha de
Inhambane",,2018,Proposta 2018,Moçambique Proposta Do Plano Económico E Social Para 2018,Live,78.0,2,based on seaaroundus.org catch data (needed extra data point here for the model)
Mozambique,Fuel,Fuel subsidies,B7,"Fishing, semi-industrial fishing still benefiting from subsidies.",,,COM Fuel Subsidies 2018,Club of Mozambique (2018) Fuel subsidies: Petrol stations have money to recover,Live,0.0,2,semi-industrial excludes SSF
Mozambique,Tax,Non-Fuel tax exemptions,B5,p1775 maritime vessels for fishing subject to 10% withholding tax (instead of 20%),USD,2014,PWC WWTS 2018-19,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,0.0,2,maritime vessels and corporate tax - assume all LSF
Mozambique,Tax,Non-Fuel tax exemptions,B5,p1774 exemptions from customs duties and VAT / includes fisheries per p8 KPMG Mozambique 2018,USD,2014,PWC WWTS 2018-19,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,0.0,2,customs and duties tax exemption - Mozambique SSF only local i.e. all for LSF
Netherlands,Tax,Non-Fuel tax exemptions,B5,"p.305, the supply of goods (e.g., equipment to be used on board) and services (e.g., repair services) to outbound seagoing vessels is in most cases zero rated if supplied to; Vessels used for coastal fishing with the exception of ship’s provisions",USD,2014,EY Shipping Almanac 2016,EY Shipping Industry Almanac 2016,Live,0.0,2,"Netherland does not really have a SSF sector based on seaaroundus.org except for some invertebrate fisheries, meaning all vessels whether coastal or not are LSF"
Nigeria,Assistance,Worker adjustment and retraining,C1,USD 16144 - taken from database,USD,2016,OECD ODA-Training,"OECDStat, Overseas Development Aid, Fisheries Training",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,3926901000 articles for fishing - 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,4503901000 floats for fishing nets 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,5207901000 fishing yarn 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,5608110000 made up fishing nets 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,5608901000 made up fishing nets 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,7020001000 Fishing floats for fishing nets made of glass 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,7806002000 lead weights for fishing nets 5 / 5,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902001000 Vessels for fishing, processing or preserving fishery products of a tonnage=<10 tonnes",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902003100 Fishing vessels equiped with a freezer or freezing unit, capacity >40<=300 Tonnes",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902004900 Fishing vessels not equiped with a freezer or freezing unit, capacity>300 Tonnes",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902004100 Fishing vessels equiped with a freezer or freezing unit, capacity >300 Tonnes",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902003900 Fishing vessels not equiped with a freezer or freezing unit, capacity >40 <=300 Tonnes",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"8902002000 Vessels for fishing, processing/preserving fishery products of a tonnage > 10 and =< 40",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,9507100000 Fishing rods,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"9507200000 Fishhooks, whether or not snelled",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,"9507900000 Fishing rod, fishhook..; fish landing net... decoy birds (excl heading 92.08 or 97.05)",NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Nigeria,Tax,Non-Fuel tax exemptions,B5,9507300000 Fishing reels,NGN,2018,CET Tariffs,"Government of Nigeria, CET Tariff Act No.4",Live,68.0,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Norway,Tax,Non-Fuel tax exemptions,B5,"p.108, standard VAT rate is 25%, but reduced rate of 11.1% is applicable to supplies for fishermen. ",USD,2014,Deloitte European VAT Refund Guide 2018,Deloitte European VAT Refund Guide 2018,Live,8.3,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Norway,Tax,Non-Fuel tax exemptions,B5,"The exemption encompasses vessels of at least six metres for use in professional fishing. Vessels for professional fishing we define as vessels that are only used for fishing and that are suitable for this with regard to their design and equipment, and which have not been built for propulsion by an outboard motor, including a stern drive.",USD,2018,Vessel Tax Exemption,Norway Toll & Customs - Vessels - Exemption From Taxes,Live,8.3,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Norway,Tax,Non-Fuel tax exemptions,B5,"The special allowance for fishing and hunting amounts to 30 percent of the net income from employment during fishing at sea or along the coast. The maximum allowance is NOK 150,000. The item also applies to fishermen and hunters on foreign fishing vessels.",USD,2018,Fishing Special Allowance,Norwegian Tax Administration (2018) 3.2.14 Special Allowance for Fishermen and Hunters At Sea,Live,8.3,na,Based on SSF% of total catch (fleet) see seaaroundus.org
Oman,Boat,"Boat / fleet construct., renewal, & modernization",B1,p44 Subsidies to purchase fibreglass boats and outboard engines,,,WTO TPR Oman-2014,Oman WTO Trade Policy Review -2014,Live,100.0,2,assume fibre glass boats and outboard engines are for SSF
Oman,Market Infrastructure,Processing & storage infrastructure,B4,p44 Subsidies to construct cold storage facilities,,,WTO TPR Oman-2014,Oman WTO Trade Policy Review -2014,Live,0.0,2,assume cold storage for LSF
Oman,Port,Port & harbour construction & renovation,B3,p44 Subsidies to construct jetties,,,WTO TPR Oman-2014,Oman WTO Trade Policy Review -2014,Live,80.5,na,could be either based on SSF% of total catch (fleet) see seaaroundus.org
Oman,Market Infrastructure,"State investments in firms, cooperatives & parastatals",B4,p44 Subsidies to establish companies to market fish,,,WTO TPR Oman-2014,Oman WTO Trade Policy Review -2014,Live,80.5,na,"Could be for both, based on SSF% of total catch (fleet) see seaaroundus.org"
Oman,Fuel,Fuel subsidies,B7,"Those covered by the new fuel subsidy scheme 
include all Omani employees, entrepreneurs, job seekers, students, housemaids and retirees, as well as fishermen who meet the said eligibility terms.",,,Fuel Subsidy Scheme,Gulf News (2017) Oman Introduces New Fuel Subsidy Scheme,Live,51.0,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Panama,Boat,"Boat / fleet construct., renewal, & modernization",B1,"Motors, gillnet and other fishing equipment",,2016,Dialogo Pesca,Panama (2016) Dialogo Nacional Por La Pesca,Live,13.5,na,based on SSF % of total catch see seaaroundus.org (fleet)
Poland,Fuel,Fuel tax concessions,B7,"p.7, Oil products used in agriculture are taxed, but the fuels used for fishing purposes are untaxed. ",,2018,TEU 2018 Poland,OECD (2018) Taxing Energy Use - Poland,Live,9.0,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Portugal,Fuel,Fuel tax concessions,B7,"p.7,  Fuels used for fishing purposes are untaxed.",,2018,TEU 2018 Portugal,OECD (2018) Taxing Energy Use - Portugal,Live,4.5,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Somalia,Assistance,Worker adjustment and retraining,C1,USD 23992 - taken from database,USD,2017,OECD ODA-Training,"OECDStat, Overseas Development Aid, Fisheries Training",Live,75.9,na,Based on SSF % of total catch for Somalia fishing fleet see seaaroundus.org
Taiwan,Fuel,Fuel subsidies,B7,ssociations are provided with subsidies for fuel,,2018,Taiwan Fishing Industry,The Diplomat (2018) The Dirty Secret of Taiwan's Fishing Industry,Live,2.8,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
United Kingdom,Fuel,Fuel tax concessions,B7,"p.7, Fossil fuels used in the agriculture and fishing sector are taxed at the same rates as other non-road sectors",,2018,TEU 2018 UK,OECD (2018) Taxing Energy Use - UK,Live,12.3,2,This excludes oversea territories...  SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Vanuatu,Fuel,Fuel tax concessions,B7,"p60 Duty-free concessions: to encourage participation in the development of the domestic tuna industry, all locally-based vessels with a valid commercial fishing licence are eligible for duty exemption on fuel and fishing gear, including bait, fishing equipment and spare parts, for their fishing operations.",VUV,2018,Vanuatu WTO TPR,Vanuatu WTO Trade Policy Review-2018,Live,0.0,2,all for Tuna industry i.e. all LSF
